iter	Passed	Remaining
0	11	2216
1	24	2387
2	37	2474
3	49	2412
4	60	2372
5	69	2249
6	79	2190
7	89	2148
8	101	2144
9	114	2173
10	123	2129
11	133	2089
12	144	2072
13	154	2056
14	165	2036
15	179	2063
16	193	2086
17	202	2044
18	213	2038
19	230	2073
20	243	2077
21	254	2059
22	268	2064
23	278	2045
24	291	2037
25	304	2041
26	317	2035
27	327	2010
28	339	2000
29	354	2006
30	367	2004
31	378	1986
32	390	1973
33	399	1950
34	415	1956
35	427	1949
36	439	1938
37	452	1928
38	463	1913
39	473	1892
40	483	1873
41	489	1842
42	496	1811
43	505	1792
44	513	1770
45	525	1759
46	533	1737
47	543	1722
48	552	1703
49	562	1687
50	570	1667
51	580	1651
52	588	1633
53	597	1616
54	606	1600
55	621	1598
56	637	1599
57	646	1583
58	657	1570
59	668	1559
60	678	1545
61	691	1538
62	707	1538
63	718	1527
64	726	1509
65	735	1493
66	746	1481
67	754	1464
68	761	1445
69	772	1434
70	781	1419
71	789	1404
72	797	1387
73	804	1370
74	814	1358
75	830	1354
76	843	1347
77	857	1340
78	870	1333
79	877	1316
80	885	1300
81	893	1286
82	903	1273
83	911	1258
84	921	1247
85	929	1231
86	937	1218
87	947	1205
88	957	1193
89	968	1183
90	975	1168
91	985	1157
92	994	1143
93	1004	1132
94	1013	1120
95	1025	1111
96	1036	1101
97	1045	1088
98	1055	1076
99	1063	1063
100	1073	1052
101	1086	1044
102	1096	1032
103	1107	1022
104	1127	1019
105	1137	1008
106	1148	998
107	1160	988
108	1166	974
109	1175	961
110	1183	948
111	1196	939
112	1207	929
113	1219	920
114	1230	909
115	1237	896
116	1245	883
117	1253	871
118	1264	860
119	1272	848
120	1279	835
121	1290	824
122	1297	812
123	1306	800
124	1314	788
125	1322	776
126	1330	764
127	1337	752
128	1348	742
129	1355	729
130	1366	719
131	1378	710
132	1389	699
133	1401	690
134	1410	679
135	1420	668
136	1428	657
137	1439	646
138	1447	635
139	1454	623
140	1461	611
141	1472	601
142	1482	590
143	1490	579
144	1498	568
145	1508	557
146	1518	547
147	1525	536
148	1535	525
149	1544	514
150	1554	504
151	1563	493
152	1572	483
153	1582	472
154	1592	462
155	1602	451
156	1610	441
157	1617	430
158	1626	419
159	1634	408
160	1642	397
161	1650	387
162	1659	376
163	1668	366
164	1678	356
165	1685	345
166	1694	334
167	1703	324
168	1713	314
169	1724	304
170	1734	294
171	1740	283
172	1749	273
173	1758	262
174	1766	252
175	1775	242
176	1783	231
177	1794	221
178	1807	212
179	1821	202
180	1830	192
181	1840	182
182	1849	171
183	1858	161
184	1869	151
185	1878	141
186	1886	131
187	1895	120
188	1904	110
189	1913	100
190	1921	90
191	1937	80
192	1946	70
193	1954	60
194	1963	50
195	1971	40
196	1978	30
197	1988	20
198	1999	10
199	2005	0
